Week Of,City,Neighborhood,Product,SKU,Channel,Sales (Units)
,,,,,,
5/2/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,37
,,,,,,
4/25/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
4/18/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
4/11/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
4/4/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
3/28/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
3/21/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
3/14/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
3/7/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
2/29/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
2/22/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
2/15/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
2/8/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
2/1/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
1/25/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
1/18/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
1/11/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
1/4/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
12/28/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
12/21/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
12/14/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
12/7/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
11/30/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
11/23/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
11/16/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
11/9/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
11/2/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
10/26/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
10/19/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
10/12/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
10/5/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
9/28/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
9/21/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
9/14/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,40
,,,,,,
9/7/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,42
,,,,,,
8/31/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,107
,,,,,,
8/24/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,178
,,,,,,
8/17/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,199
,,,,,,
8/10/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,206
,,,,,,
8/3/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,209
,,,,,,
7/27/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,212
,,,,,,
7/20/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,172
,,,,,,
7/13/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,170
,,,,,,
7/6/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,171
,,,,,,
6/29/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,313
,,,,,,
6/22/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,177
,,,,,,
6/15/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,152
,,,,,,
6/8/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,137
,,,,,,
6/1/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,127
,,,,,,
5/23/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,349
,,,,,,
5/16/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,330
,,,,,,
5/9/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,329
,,,,,,
5/2/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,290
,,,,,,
4/25/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,288
,,,,,,
4/18/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,281
,,,,,,
4/11/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,267
,,,,,,
4/4/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,264
,,,,,,
3/28/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,267
,,,,,,
3/21/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,257
,,,,,,
3/14/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,256
,,,,,,
3/7/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,261
,,,,,,
2/29/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,248
,,,,,,
2/22/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,221
,,,,,,
2/15/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,212
,,,,,,
2/8/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,212
,,,,,,
2/1/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,216
,,,,,,
1/25/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,214
,,,,,,
1/18/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,208
,,,,,,
1/11/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,214
,,,,,,
1/4/2016,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,215
,,,,,,
12/28/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,213
,,,,,,
12/21/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,211
,,,,,,
12/14/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,210
,,,,,,
12/7/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,216
,,,,,,
11/30/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,217
,,,,,,
11/23/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,215
,,,,,,
11/16/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,210
,,,,,,
11/9/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,217
,,,,,,
11/2/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,214
,,,,,,
10/26/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,220
,,,,,,
10/19/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,230
,,,,,,
10/12/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,247
,,,,,,
10/5/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,248
,,,,,,
9/28/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,264
,,,,,,
9/21/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,282
,,,,,,
9/14/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,295
,,,,,,
9/7/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,305
,,,,,,
8/31/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,318
,,,,,,
8/24/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,324
,,,,,,
8/17/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,349
,,,,,,
8/10/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,359
,,,,,,
8/3/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,394
,,,,,,
7/27/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,417
,,,,,,
7/20/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,424
,,,,,,
7/13/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,418
,,,,,,
7/6/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,419
,,,,,,
6/29/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,629
,,,,,,
6/22/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,395
,,,,,,
6/15/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,377
,,,,,,
6/8/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,364
,,,,,,
6/1/2015,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,361
,,,,,,
5/23/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,261
,,,,,,
5/16/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,184
,,,,,,
5/9/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,131
,,,,,,
5/2/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,98
,,,,,,
4/25/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
4/18/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
4/11/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
4/4/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
3/28/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
3/21/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
3/14/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
3/7/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
2/29/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
2/22/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
2/15/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
2/8/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
2/1/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
1/25/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
1/18/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
1/11/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
1/4/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
12/28/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
12/21/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
12/14/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
12/7/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
11/30/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
11/23/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
11/16/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
11/9/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
11/2/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
10/26/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
10/19/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
10/12/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
10/5/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
9/28/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
9/21/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
9/14/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,97
,,,,,,
9/7/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,115
,,,,,,
8/31/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,283
,,,,,,
8/24/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,458
,,,,,,
8/17/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,517
,,,,,,
8/10/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,555
,,,,,,
8/3/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,546
,,,,,,
7/27/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,548
,,,,,,
7/20/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,456
,,,,,,
7/13/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,439
,,,,,,
7/6/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,457
,,,,,,
6/29/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,826
,,,,,,
6/22/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,462
,,,,,,
6/15/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,383
,,,,,,
6/8/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,372
,,,,,,
6/1/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,331
,,,,,,
5/23/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,263
,,,,,,
5/16/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,250
,,,,,,
5/9/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,246
,,,,,,
5/2/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,215
,,,,,,
4/25/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,219
,,,,,,
4/18/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,213
,,,,,,
4/11/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,210
,,,,,,
4/4/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,196
,,,,,,
3/28/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,196
,,,,,,
3/21/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,197
,,,,,,
3/14/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,192
,,,,,,
3/7/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,195
,,,,,,
2/29/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,187
,,,,,,
2/22/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,169
,,,,,,
2/15/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,165
,,,,,,
2/8/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,162
,,,,,,
2/1/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,164
,,,,,,
1/25/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,163
,,,,,,
1/18/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,161
,,,,,,
1/11/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,157
,,,,,,
1/4/2016,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,163
,,,,,,
12/28/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,163
,,,,,,
12/21/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,166
,,,,,,
12/14/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,161
,,,,,,
12/7/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,164
,,,,,,
11/30/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,158
,,,,,,
11/23/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,163
,,,,,,
11/16/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,163
,,,,,,
11/9/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,161
,,,,,,
11/2/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,166
,,,,,,
10/26/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,165
,,,,,,
10/19/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,179
,,,,,,
10/12/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,180
,,,,,,
10/5/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,186
,,,,,,
9/28/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,197
,,,,,,
9/21/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,216
,,,,,,
9/14/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,225
,,,,,,
9/7/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,229
,,,,,,
8/31/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,232
,,,,,,
8/24/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,248
,,,,,,
8/17/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,267
,,,,,,
8/10/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,268
,,,,,,
8/3/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,292
,,,,,,
7/27/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,321
,,,,,,
7/20/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,322
,,,,,,
7/13/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,318
,,,,,,
7/6/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,319
,,,,,,
6/29/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,474
,,,,,,
6/22/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,296
,,,,,,
6/15/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,280
,,,,,,
6/8/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,276
,,,,,,
6/1/2015,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,266
,,,,,,
5/23/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,169
,,,,,,
5/16/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,125
,,,,,,
5/9/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,86
,,,,,,
5/2/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,61
,,,,,,
4/25/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
4/18/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
4/11/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
4/4/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
3/28/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
3/21/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
3/14/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
3/7/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
2/29/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
2/22/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
2/15/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
2/8/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
2/1/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
1/25/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
1/18/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
1/11/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
1/4/2016,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
12/28/2015,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
12/21/2015,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
12/14/2015,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
12/7/2015,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
11/30/2015,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
11/23/2015,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
11/16/2015,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
11/9/2015,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
11/2/2015,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
10/26/2015,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
10/19/2015,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
10/12/2015,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
